user_id,pred3
2,"Phones,Fashion,Fitness"
3,"Phones,Fashion,Toys"
8,"Home Decor,Phones,Toys"
10,"Toys,Phones,Fashion"
13,"Phones,Toys,Home Decor"
15,"Fashion,Phones,Home Decor"
17,"Fashion,Home Decor,Phones"
18,"Fashion,Phones,Gaming"
20,"Back to School,Phones,Fashion"
22,"Phones,Home Decor,Fashion"
23,"Toys,Phones,Fashion"
24,"Phones,Fashion,Toys"
31,"Fashion,Phones,Home Decor"
32,"Fashion,Toys,Beauty Products"
36,"Phones,Gaming,Home Decor"
37,"Phones,Kitchen cleaning Supplies,Toys"
38,"Fashion,Phones,Pet Supplies"
40,"Toys,Phones,Fashion"
44,"Phones,Kitchen cleaning Supplies,Fashion"
46,"Fashion,Phones,Back to School"
49,"Phones,Fashion,Toys"
54,"Toys,Home Decor,Fashion"
61,"Fashion,Phones,Home Decor"
64,"Fashion,Phones,Toys"
65,"Phones,Home Decor,Toys"
67,"Phones,Back to School,Beauty Products"
70,"Fashion,Home Decor,Back to School"
71,"Fashion,Kitchen cleaning Supplies,Home Decor"
74,"Toys,Home Decor,Fitness"
76,"Phones,Toys,Fashion"
79,"Home Decor,Phones,Toys"
84,"Phones,Toys,Painiting Supplies"
90,"Home Decor,Toys,Fitness"
92,"Phones,Fashion,Painiting Supplies"
96,"Fashion,Phones,Groceries"
97,"Home Decor,Fashion,Toys"
98,"Toys,Home Decor,Gaming"
108,"Fashion,Phones,Gaming"
111,"Phones,Groceries,Gaming"
112,"Phones,Books,Fashion"
113,"Phones,Fashion,Toys"
116,"Toys,Phones,Gaming"
117,"Fashion,Home Decor,Phones"
119,"Fashion,Phones,Groceries"
122,"Phones,Fashion,Gaming"
123,"Fashion,Home Decor,Toys"
124,"Phones,Fashion,Groceries"
128,"Fashion,Phones,Groceries"
129,"Phones,Toys,Gaming"
132,"Phones,Fashion,Board Games"
133,"Phones,Toys,Home Decor"
136,"Home Decor,Toys,Phones"
143,"Phones,Home Decor,Toys"
146,"Phones,Toys,Fashion"
151,"Phones,Books,Groceries"
152,"Fashion,Gaming,Phones"
156,"Fashion,Toys,TVs"
159,"Phones,Board Games,Fashion"
160,"Home Decor,Fashion,Phones"
161,"Phones,Toys,Groceries"
163,"Fashion,Phones,Groceries"
165,"Phones,Home Decor,Back to School"
169,"Fashion,Phones,Painiting Supplies"
170,"Phones,Toys,Fashion"
171,"Phones,Toys,Pet Supplies"
173,"Home Decor,Phones,Groceries"
177,"Toys,Phones,Groceries"
179,"Phones,Fashion,Books"
180,"Fitness,Phones,Books"
182,"Fashion,Phones,Home Decor"
184,"Phones,Toys,Gaming"
187,"Phones,Fashion,Toys"
196,"Phones,Books,Fashion"
198,"Fashion,Phones,Toys"
202,"Fashion,Back to School,Phones"
204,"Phones,Fashion,Home Decor"
207,"Phones,Pet Supplies,Fashion"
209,"Fashion,Toys,Phones"
211,"Phones,Books,Home Decor"
214,"Phones,Toys,Beauty Products"
215,"Phones,Fashion,Gaming"
217,"Phones,Fashion,Toys"
218,"Home Decor,Phones,Fashion"
223,"Back to School,Home Decor,Phones"
224,"Phones,Fashion,Gaming"
232,"Fashion,Phones,Back to School"
235,"Fashion,Back to School,Home Decor"
238,"Phones,Fashion,Home Decor"
240,"Phones,Home Decor,Gaming"
241,"Toys,Fashion,Phones"
242,"Fashion,Phones,Toys"
249,"Phones,Fashion,Back to School"
250,"Home Decor,Toys,Fashion"
251,"Home Decor,Gaming,Phones"
255,"Toys,Phones,Kitchen cleaning Supplies"
258,"Phones,Fashion,Home Decor"
262,"Toys,Fashion,Gaming"
264,"Fashion,Back to School,Phones"
265,"Phones,Fashion,Gaming"
266,"Fashion,Toys,Home Decor"
272,"Phones,Fashion,Back to School"
273,"Phones,Gaming,Pet Supplies"
274,"Home Decor,Back to School,Fashion"
276,"Gaming,Back to School,Phones"
280,"Fashion,Home Decor,Gaming"
288,"Pet Supplies,Books,Groceries"
290,"Phones,Home Decor,Toys"
293,"Fashion,Phones,Board Games"
299,"Fashion,Home Decor,Phones"
303,"Toys,Home Decor,Fashion"
304,"Fashion,Phones,Toys"
305,"Fashion,Phones,Home Decor"
307,"Phones,Fashion,Toys"
